,colour,frequency
0,"(0, 0, 0)",9.0
1,"(1, 1, 1)",1.0
2,"(30, 30, 30)",1.0
3,"(47, 47, 47)",1.0
4,"(48, 48, 48)",1.0
5,"(51, 51, 51)",2.0
6,"(57, 57, 57)",1.0
7,"(66, 66, 66)",1.0
8,"(67, 67, 67)",2.0
9,"(70, 70, 70)",1.0
10,"(72, 72, 72)",1.0
11,"(74, 74, 74)",3.0
12,"(75, 75, 75)",2.0
13,"(92, 92, 92)",1.0
14,"(93, 93, 93)",1.0
15,"(95, 95, 95)",1.0
16,"(107, 107, 107)",1.0
17,"(108, 108, 108)",1.0
18,"(114, 114, 114)",2.0
19,"(128, 128, 128)",1.0
20,"(146, 146, 146)",1.0
21,"(168, 168, 168)",1.0
22,"(191, 191, 191)",1.0
23,"(221, 221, 221)",1.0
24,"(234, 234, 234)",1.0
25,"(242, 242, 242)",1.0
26,"(243, 243, 243)",1.0
27,"(247, 247, 247)",2.0
28,"(250, 250, 250)",1.0
29,"(251, 251, 251)",1.0
30,"(252, 252, 252)",16.0
31,"(63, 57, 57)",1.0
32,"(146, 128, 128)",1.0
33,"(252, 216, 216)",1.0
34,"(118, 94, 94)",1.0
35,"(19, 13, 13)",1.0
36,"(195, 75, 74)",1.0
37,"(180, 92, 91)",1.0
38,"(195, 87, 85)",1.0
39,"(229, 135, 133)",1.0
40,"(164, 86, 84)",1.0
41,"(124, 53, 51)",1.0
42,"(216, 91, 85)",1.0
43,"(206, 81, 75)",1.0
44,"(224, 121, 116)",1.0
45,"(212, 109, 104)",1.0
46,"(225, 82, 74)",1.0
47,"(223, 104, 96)",1.0
48,"(224, 91, 82)",1.0
49,"(190, 87, 80)",1.0
50,"(243, 115, 106)",1.0
51,"(223, 82, 72)",1.0
52,"(189, 96, 89)",1.0
53,"(204, 141, 136)",1.0
54,"(202, 64, 53)",1.0
55,"(200, 110, 102)",1.0
56,"(176, 87, 79)",1.0
57,"(175, 86, 78)",1.0
58,"(227, 115, 104)",1.0
59,"(140, 130, 129)",1.0
60,"(228, 138, 129)",1.0
61,"(159, 141, 139)",1.0
62,"(94, 76, 74)",1.0
63,"(171, 69, 57)",1.0
64,"(178, 88, 77)",1.0
65,"(111, 51, 43)",1.0
66,"(225, 104, 85)",1.0
67,"(224, 142, 128)",1.0
68,"(178, 56, 35)",1.0
69,"(109, 98, 96)",1.0
70,"(233, 140, 123)",1.0
71,"(143, 79, 67)",1.0
72,"(93, 83, 81)",1.0
73,"(166, 75, 56)",1.0
74,"(91, 77, 74)",1.0
75,"(237, 233, 232)",1.0
76,"(185, 181, 180)",1.0
77,"(116, 112, 111)",1.0
78,"(100, 96, 95)",1.0
79,"(83, 79, 78)",1.0
80,"(82, 78, 77)",1.0
81,"(81, 77, 76)",1.0
82,"(80, 76, 75)",2.0
83,"(78, 74, 73)",1.0
84,"(77, 73, 72)",1.0
85,"(74, 70, 69)",1.0
86,"(63, 59, 58)",1.0
87,"(60, 56, 55)",1.0
88,"(57, 53, 52)",1.0
89,"(214, 93, 62)",1.0
90,"(232, 95, 59)",1.0
91,"(227, 107, 70)",1.0
92,"(168, 149, 143)",1.0
93,"(230, 112, 74)",1.0
94,"(207, 89, 51)",1.0
95,"(249, 219, 209)",1.0
96,"(95, 68, 59)",1.0
97,"(124, 62, 41)",1.0
98,"(190, 137, 119)",1.0
99,"(178, 87, 56)",1.0
100,"(177, 86, 55)",1.0
101,"(126, 103, 95)",1.0
102,"(85, 74, 70)",1.0
103,"(77, 66, 62)",1.0
104,"(72, 61, 57)",1.0
105,"(206, 121, 90)",1.0
106,"(77, 69, 66)",1.0
107,"(181, 138, 121)",1.0
108,"(235, 129, 87)",1.0
109,"(198, 110, 74)",1.0
110,"(193, 118, 87)",1.0
111,"(161, 76, 39)",1.0
112,"(155, 116, 99)",1.0
113,"(246, 226, 217)",1.0
114,"(242, 157, 118)",1.0
115,"(213, 187, 174)",1.0
116,"(212, 186, 173)",1.0
117,"(158, 120, 101)",1.0
118,"(180, 134, 111)",1.0
119,"(236, 129, 75)",1.0
120,"(238, 179, 149)",1.0
121,"(157, 106, 79)",1.0
122,"(112, 101, 95)",1.0
123,"(100, 89, 83)",1.0
124,"(97, 86, 80)",1.0
125,"(241, 153, 105)",1.0
126,"(168, 121, 95)",1.0
127,"(98, 89, 84)",1.0
128,"(83, 74, 69)",1.0
129,"(74, 65, 60)",1.0
130,"(201, 132, 93)",1.0
131,"(133, 89, 64)",1.0
132,"(132, 88, 63)",1.0
133,"(219, 188, 170)",1.0
134,"(61, 44, 34)",1.0
135,"(67, 62, 59)",1.0
136,"(57, 52, 49)",1.0
137,"(157, 106, 75)",1.0
138,"(224, 129, 71)",1.0
139,"(198, 162, 140)",1.0
140,"(155, 128, 111)",1.0
141,"(183, 109, 62)",1.0
142,"(180, 122, 85)",1.0
143,"(244, 177, 134)",1.0
144,"(72, 58, 49)",1.0
145,"(115, 70, 41)",1.0
146,"(239, 128, 56)",1.0
147,"(191, 151, 125)",1.0
148,"(182, 142, 116)",1.0
149,"(165, 129, 105)",1.0
150,"(242, 170, 120)",1.0
151,"(215, 152, 108)",1.0
152,"(231, 134, 65)",1.0
153,"(242, 223, 209)",1.0
154,"(121, 102, 88)",1.0
155,"(233, 154, 95)",1.0
156,"(218, 214, 211)",1.0
157,"(206, 202, 199)",1.0
158,"(190, 186, 183)",1.0
159,"(107, 103, 100)",1.0
160,"(63, 59, 56)",1.0
161,"(190, 181, 174)",1.0
162,"(103, 94, 87)",1.0
163,"(119, 101, 87)",1.0
164,"(229, 224, 220)",1.0
165,"(200, 195, 191)",1.0
166,"(161, 156, 152)",1.0
167,"(149, 144, 140)",1.0
168,"(143, 138, 134)",1.0
169,"(125, 120, 116)",1.0
170,"(87, 82, 78)",1.0
171,"(149, 124, 104)",1.0
172,"(243, 180, 129)",1.0
173,"(98, 82, 69)",1.0
174,"(184, 117, 62)",1.0
175,"(89, 82, 76)",1.0
176,"(88, 81, 75)",1.0
177,"(157, 129, 105)",1.0
178,"(153, 125, 101)",1.0
179,"(113, 87, 64)",1.0
180,"(191, 172, 155)",1.0
181,"(156, 116, 80)",1.0
182,"(248, 234, 221)",1.0
183,"(118, 104, 91)",1.0
184,"(103, 72, 43)",1.0
185,"(200, 184, 169)",1.0
186,"(130, 114, 99)",1.0
187,"(224, 171, 121)",1.0
188,"(174, 132, 92)",1.0
189,"(169, 147, 126)",1.0
190,"(169, 143, 118)",1.0
191,"(227, 148, 71)",1.0
192,"(241, 229, 217)",1.0
193,"(116, 106, 96)",1.0
194,"(207, 174, 141)",1.0
195,"(189, 134, 78)",1.0
196,"(215, 164, 109)",1.0
197,"(192, 140, 83)",1.0
198,"(79, 72, 64)",1.0
199,"(246, 194, 134)",1.0
200,"(226, 214, 200)",1.0
201,"(197, 185, 171)",1.0
202,"(190, 178, 164)",1.0
203,"(137, 108, 74)",1.0
204,"(109, 92, 72)",1.0
205,"(241, 161, 66)",1.0
206,"(233, 223, 211)",1.0
207,"(231, 221, 209)",1.0
208,"(240, 180, 108)",1.0
