,colour,frequency
0,"(88, 81, 75)",1.0
1,"(80, 95, 124)",1.0
2,"(65, 158, 175)",1.0
3,"(206, 121, 90)",1.0
4,"(60, 56, 93)",1.0
5,"(47, 49, 48)",1.0
6,"(224, 91, 82)",1.0
7,"(132, 205, 178)",1.0
8,"(146, 146, 146)",1.0
9,"(45, 87, 129)",1.0
10,"(74, 65, 60)",1.0
11,"(39, 40, 42)",1.0
12,"(56, 88, 149)",1.0
13,"(210, 146, 173)",1.0
14,"(225, 159, 37)",1.0
15,"(95, 89, 93)",1.0
16,"(121, 188, 214)",1.0
17,"(52, 70, 80)",1.0
18,"(66, 66, 66)",1.0
19,"(219, 168, 183)",1.0
20,"(192, 164, 91)",1.0
21,"(234, 223, 231)",1.0
22,"(66, 62, 63)",1.0
23,"(157, 129, 105)",1.0
24,"(208, 225, 133)",1.0
25,"(119, 121, 133)",1.0
26,"(70, 110, 60)",1.0
27,"(152, 128, 180)",1.0
28,"(135, 144, 143)",1.0
29,"(245, 178, 185)",1.0
30,"(233, 140, 123)",1.0
31,"(231, 208, 102)",1.0
32,"(34, 37, 42)",1.0
33,"(130, 110, 57)",1.0
34,"(125, 120, 116)",1.0
35,"(80, 91, 93)",1.0
36,"(63, 63, 99)",1.0
37,"(205, 189, 156)",1.0
38,"(121, 102, 88)",1.0
39,"(225, 122, 167)",1.0
40,"(93, 195, 235)",1.0
41,"(110, 124, 171)",1.0
42,"(245, 210, 216)",1.0
43,"(101, 150, 103)",1.0
44,"(229, 166, 174)",1.0
45,"(47, 119, 157)",1.0
46,"(248, 252, 255)",1.0
47,"(111, 163, 210)",1.0
48,"(138, 175, 201)",1.0
49,"(87, 141, 211)",1.0
50,"(0, 0, 0)",9.0
51,"(44, 43, 41)",1.0
52,"(94, 105, 135)",1.0
53,"(184, 131, 177)",1.0
54,"(105, 113, 132)",1.0
55,"(252, 229, 153)",1.0
56,"(72, 100, 122)",1.0
57,"(147, 192, 221)",2.0
58,"(119, 101, 87)",1.0
59,"(70, 70, 70)",1.0
60,"(190, 186, 183)",1.0
61,"(190, 137, 119)",1.0
62,"(246, 219, 148)",1.0
63,"(119, 119, 155)",1.0
64,"(183, 179, 212)",1.0
65,"(178, 154, 120)",1.0
66,"(180, 134, 111)",1.0
67,"(246, 210, 122)",1.0
68,"(34, 36, 35)",1.0
69,"(84, 116, 157)",1.0
70,"(193, 118, 87)",1.0
71,"(249, 240, 111)",1.0
72,"(171, 202, 207)",1.0
73,"(215, 110, 140)",1.0
74,"(52, 69, 77)",1.0
75,"(137, 107, 69)",1.0
76,"(255, 223, 122)",1.0
77,"(246, 247, 251)",2.0
78,"(190, 87, 80)",1.0
79,"(216, 195, 114)",1.0
80,"(237, 236, 234)",1.0
81,"(173, 86, 102)",1.0
82,"(170, 208, 171)",1.0
83,"(113, 87, 64)",1.0
84,"(252, 224, 127)",1.0
85,"(239, 248, 247)",1.0
86,"(243, 196, 202)",1.0
87,"(192, 150, 154)",1.0
88,"(109, 109, 111)",1.0
89,"(131, 199, 96)",1.0
90,"(67, 190, 206)",1.0
91,"(202, 166, 204)",1.0
92,"(0, 163, 132)",1.0
93,"(142, 185, 202)",1.0
94,"(0, 134, 71)",1.0
95,"(41, 41, 39)",1.0
96,"(97, 144, 190)",1.0
97,"(227, 107, 70)",1.0
98,"(61, 68, 97)",1.0
99,"(171, 199, 213)",1.0
100,"(31, 43, 93)",1.0
101,"(131, 151, 90)",1.0
102,"(177, 208, 128)",1.0
103,"(155, 211, 212)",1.0
104,"(177, 86, 55)",1.0
105,"(225, 234, 243)",1.0
106,"(45, 44, 42)",1.0
107,"(124, 62, 41)",1.0
108,"(225, 205, 152)",1.0
109,"(73, 71, 72)",1.0
110,"(112, 75, 127)",1.0
111,"(147, 147, 149)",1.0
112,"(168, 151, 167)",1.0
113,"(99, 170, 190)",1.0
114,"(174, 219, 222)",1.0
115,"(183, 155, 108)",1.0
116,"(160, 111, 156)",1.0
117,"(138, 197, 153)",1.0
118,"(247, 206, 114)",1.0
119,"(153, 125, 101)",1.0
120,"(199, 216, 234)",1.0
121,"(204, 200, 191)",1.0
122,"(58, 56, 57)",1.0
123,"(93, 93, 85)",1.0
124,"(72, 142, 168)",1.0
125,"(235, 129, 87)",1.0
126,"(75, 39, 139)",1.0
127,"(176, 70, 80)",1.0
128,"(40, 50, 75)",1.0
129,"(210, 212, 211)",1.0
130,"(223, 82, 72)",1.0
131,"(92, 116, 128)",1.0
132,"(226, 214, 200)",1.0
133,"(35, 34, 32)",1.0
134,"(82, 139, 156)",1.0
135,"(67, 120, 112)",1.0
136,"(240, 249, 244)",1.0
137,"(37, 39, 34)",1.0
138,"(178, 88, 77)",1.0
139,"(234, 234, 234)",1.0
140,"(238, 240, 227)",1.0
141,"(115, 86, 130)",1.0
142,"(71, 71, 73)",1.0
143,"(158, 141, 193)",1.0
144,"(172, 123, 178)",1.0
145,"(240, 225, 158)",1.0
146,"(42, 76, 147)",1.0
147,"(200, 183, 217)",1.0
148,"(175, 86, 78)",1.0
149,"(254, 241, 224)",1.0
150,"(85, 74, 70)",1.0
151,"(94, 87, 77)",1.0
152,"(244, 237, 244)",1.0
153,"(149, 156, 114)",1.0
154,"(114, 114, 114)",2.0
155,"(219, 196, 214)",1.0
156,"(241, 242, 246)",1.0
157,"(234, 84, 95)",1.0
158,"(152, 136, 185)",1.0
159,"(191, 191, 191)",1.0
160,"(111, 99, 149)",1.0
161,"(240, 217, 186)",1.0
162,"(249, 219, 209)",1.0
163,"(43, 42, 40)",1.0
164,"(233, 195, 220)",1.0
165,"(238, 179, 149)",1.0
166,"(217, 198, 220)",1.0
167,"(242, 170, 192)",1.0
168,"(251, 224, 135)",1.0
169,"(252, 241, 187)",1.0
170,"(19, 13, 13)",1.0
171,"(221, 201, 104)",1.0
172,"(250, 252, 251)",1.0
173,"(59, 148, 162)",1.0
174,"(242, 203, 84)",1.0
175,"(92, 84, 121)",1.0
176,"(154, 211, 241)",1.0
177,"(175, 209, 123)",1.0
178,"(238, 144, 158)",1.0
179,"(70, 69, 75)",1.0
180,"(99, 129, 183)",1.0
181,"(215, 152, 108)",1.0
182,"(247, 242, 202)",1.0
183,"(191, 151, 125)",1.0
184,"(229, 221, 232)",1.0
185,"(231, 134, 65)",1.0
186,"(211, 175, 123)",1.0
187,"(174, 95, 161)",1.0
188,"(107, 162, 193)",1.0
189,"(218, 225, 69)",1.0
190,"(86, 165, 208)",1.0
191,"(88, 82, 118)",1.0
192,"(126, 158, 183)",1.0
193,"(125, 117, 132)",1.0
194,"(100, 101, 103)",1.0
195,"(154, 209, 240)",1.0
196,"(187, 73, 98)",1.0
197,"(97, 86, 80)",1.0
198,"(253, 229, 129)",1.0
199,"(140, 146, 170)",1.0
200,"(136, 110, 135)",1.0
201,"(180, 191, 213)",1.0
202,"(227, 148, 71)",1.0
203,"(116, 106, 96)",1.0
204,"(51, 60, 59)",1.0
205,"(69, 157, 203)",1.0
206,"(240, 163, 173)",1.0
207,"(252, 252, 252)",16.0
208,"(82, 47, 51)",1.0
209,"(205, 220, 243)",1.0
210,"(196, 196, 194)",1.0
211,"(175, 103, 166)",1.0
212,"(205, 177, 78)",1.0
213,"(121, 175, 222)",1.0
214,"(67, 62, 59)",1.0
215,"(47, 47, 47)",1.0
216,"(246, 219, 130)",1.0
217,"(200, 177, 125)",1.0
218,"(80, 76, 75)",2.0
219,"(200, 195, 191)",1.0
220,"(158, 172, 185)",1.0
221,"(170, 192, 215)",1.0
222,"(51, 51, 51)",2.0
223,"(169, 147, 126)",1.0
224,"(67, 120, 74)",1.0
225,"(200, 210, 235)",1.0
226,"(130, 114, 99)",1.0
227,"(168, 170, 156)",1.0
228,"(247, 248, 250)",2.0
229,"(202, 224, 235)",1.0
230,"(62, 84, 133)",1.0
231,"(95, 149, 151)",1.0
232,"(215, 164, 109)",1.0
233,"(166, 216, 213)",1.0
234,"(156, 117, 58)",1.0
235,"(51, 45, 31)",1.0
236,"(74, 74, 74)",3.0
237,"(156, 116, 80)",1.0
238,"(222, 216, 226)",1.0
239,"(180, 122, 85)",1.0
240,"(119, 111, 171)",1.0
241,"(207, 89, 51)",1.0
242,"(235, 239, 225)",1.0
243,"(57, 53, 52)",1.0
244,"(250, 211, 134)",1.0
245,"(170, 186, 237)",1.0
246,"(185, 163, 201)",1.0
247,"(199, 158, 106)",1.0
248,"(93, 42, 61)",1.0
249,"(138, 168, 179)",1.0
250,"(165, 217, 231)",1.0
251,"(131, 112, 167)",1.0
252,"(226, 112, 120)",1.0
253,"(126, 103, 95)",1.0
254,"(183, 210, 227)",1.0
255,"(139, 162, 180)",1.0
256,"(70, 74, 83)",1.0
257,"(194, 199, 229)",1.0
258,"(243, 243, 243)",1.0
259,"(178, 199, 184)",1.0
260,"(243, 240, 235)",1.0
261,"(124, 53, 51)",1.0
262,"(251, 216, 132)",1.0
263,"(247, 194, 202)",1.0
264,"(198, 162, 140)",1.0
265,"(223, 201, 38)",1.0
266,"(249, 249, 251)",1.0
267,"(252, 222, 230)",1.0
268,"(190, 190, 138)",1.0
269,"(248, 234, 221)",1.0
270,"(163, 204, 222)",1.0
271,"(198, 225, 184)",1.0
272,"(203, 212, 195)",1.0
273,"(88, 181, 222)",1.0
274,"(191, 215, 239)",1.0
275,"(82, 78, 77)",1.0
276,"(246, 221, 157)",1.0
277,"(95, 150, 157)",1.0
278,"(102, 132, 156)",1.0
279,"(110, 31, 36)",1.0
280,"(178, 204, 165)",1.0
281,"(113, 86, 131)",1.0
282,"(93, 83, 81)",1.0
283,"(245, 239, 181)",1.0
284,"(159, 161, 182)",1.0
285,"(11, 12, 16)",1.0
286,"(251, 250, 248)",1.0
287,"(111, 51, 43)",1.0
288,"(43, 65, 86)",1.0
289,"(95, 68, 103)",1.0
290,"(192, 140, 83)",1.0
291,"(78, 140, 151)",1.0
292,"(171, 107, 121)",1.0
293,"(77, 73, 72)",1.0
294,"(232, 239, 249)",1.0
295,"(136, 201, 143)",1.0
296,"(161, 156, 152)",1.0
297,"(78, 76, 77)",2.0
298,"(151, 114, 147)",1.0
299,"(181, 138, 121)",1.0
300,"(237, 231, 199)",1.0
301,"(163, 148, 117)",1.0
302,"(183, 148, 188)",1.0
303,"(179, 190, 173)",1.0
304,"(242, 157, 118)",1.0
305,"(239, 176, 45)",1.0
306,"(164, 86, 84)",1.0
307,"(43, 44, 48)",1.0
308,"(233, 201, 128)",1.0
309,"(187, 192, 196)",1.0
310,"(56, 95, 134)",1.0
311,"(237, 233, 232)",1.0
312,"(245, 234, 178)",1.0
313,"(61, 91, 91)",1.0
314,"(248, 177, 181)",1.0
315,"(235, 242, 248)",1.0
316,"(179, 152, 35)",1.0
317,"(141, 204, 239)",1.0
318,"(50, 73, 91)",1.0
319,"(27, 36, 43)",1.0
320,"(78, 95, 105)",1.0
321,"(230, 112, 74)",1.0
322,"(184, 215, 139)",1.0
323,"(185, 167, 205)",1.0
324,"(200, 110, 102)",1.0
325,"(122, 155, 48)",1.0
326,"(85, 87, 99)",1.0
327,"(242, 223, 209)",1.0
328,"(164, 191, 220)",1.0
329,"(249, 250, 252)",1.0
330,"(128, 128, 128)",1.0
331,"(169, 53, 66)",1.0
332,"(245, 208, 216)",1.0
333,"(77, 117, 186)",1.0
334,"(172, 168, 185)",1.0
335,"(93, 65, 106)",1.0
336,"(99, 154, 184)",1.0
337,"(180, 92, 91)",1.0
338,"(157, 106, 79)",1.0
339,"(171, 69, 57)",1.0
340,"(238, 225, 208)",1.0
341,"(251, 251, 251)",1.0
342,"(54, 104, 167)",1.0
343,"(27, 28, 30)",1.0
344,"(109, 98, 96)",1.0
345,"(97, 73, 105)",1.0
346,"(156, 208, 144)",1.0
347,"(153, 198, 53)",1.0
348,"(202, 64, 53)",1.0
349,"(101, 152, 85)",1.0
350,"(123, 64, 122)",1.0
351,"(147, 128, 72)",1.0
352,"(176, 101, 124)",1.0
353,"(183, 186, 177)",1.0
354,"(251, 245, 233)",1.0
355,"(83, 79, 78)",1.0
356,"(41, 114, 133)",1.0
357,"(73, 86, 92)",1.0
358,"(216, 91, 85)",1.0
359,"(45, 51, 77)",1.0
360,"(114, 78, 122)",1.0
361,"(142, 199, 154)",1.0
362,"(242, 239, 234)",1.0
363,"(167, 209, 225)",1.0
364,"(183, 178, 149)",1.0
365,"(195, 69, 231)",1.0
366,"(115, 70, 41)",1.0
367,"(185, 181, 180)",1.0
368,"(161, 76, 39)",1.0
369,"(241, 229, 217)",1.0
370,"(232, 95, 59)",1.0
371,"(240, 220, 183)",1.0
372,"(237, 247, 248)",1.0
373,"(40, 58, 134)",1.0
374,"(243, 221, 164)",1.0
375,"(241, 242, 185)",1.0
376,"(121, 196, 235)",1.0
377,"(146, 205, 177)",1.0
378,"(229, 100, 120)",1.0
379,"(206, 202, 199)",1.0
380,"(168, 206, 227)",1.0
381,"(131, 105, 153)",1.0
382,"(219, 138, 155)",1.0
383,"(204, 187, 161)",1.0
384,"(69, 78, 93)",1.0
385,"(172, 70, 83)",1.0
386,"(62, 61, 59)",1.0
387,"(91, 130, 125)",1.0
388,"(250, 250, 248)",1.0
389,"(229, 135, 133)",1.0
390,"(230, 160, 186)",1.0
391,"(83, 115, 78)",1.0
392,"(69, 94, 125)",1.0
393,"(240, 241, 243)",1.0
394,"(254, 231, 163)",1.0
395,"(186, 177, 148)",1.0
396,"(89, 88, 86)",1.0
397,"(166, 136, 186)",1.0
398,"(68, 67, 63)",1.0
399,"(54, 53, 58)",1.0
400,"(77, 69, 66)",1.0
401,"(63, 59, 58)",1.0
402,"(124, 129, 123)",1.0
403,"(253, 234, 175)",1.0
404,"(168, 168, 168)",1.0
405,"(143, 79, 67)",1.0
406,"(246, 216, 82)",1.0
407,"(185, 145, 83)",1.0
408,"(168, 133, 33)",1.0
409,"(116, 112, 111)",1.0
410,"(0, 118, 70)",1.0
411,"(94, 106, 144)",1.0
412,"(87, 82, 78)",1.0
413,"(1, 1, 1)",1.0
414,"(57, 57, 57)",1.0
415,"(149, 124, 104)",1.0
416,"(246, 248, 247)",1.0
417,"(195, 209, 235)",1.0
418,"(226, 228, 243)",1.0
419,"(174, 186, 140)",1.0
420,"(80, 102, 125)",1.0
421,"(118, 164, 188)",1.0
422,"(138, 149, 167)",1.0
423,"(98, 82, 69)",1.0
424,"(225, 82, 74)",1.0
425,"(197, 214, 134)",1.0
426,"(241, 249, 252)",1.0
427,"(252, 239, 246)",1.0
428,"(70, 70, 62)",1.0
429,"(27, 63, 89)",1.0
430,"(239, 217, 170)",1.0
431,"(207, 171, 121)",1.0
432,"(112, 185, 218)",1.0
433,"(166, 75, 56)",1.0
434,"(178, 56, 35)",1.0
435,"(190, 178, 164)",1.0
436,"(76, 79, 112)",1.0
437,"(221, 221, 221)",1.0
438,"(222, 140, 176)",1.0
439,"(125, 173, 63)",1.0
440,"(212, 223, 215)",1.0
441,"(240, 180, 108)",1.0
442,"(152, 131, 104)",1.0
443,"(251, 213, 114)",1.0
444,"(243, 180, 129)",1.0
445,"(93, 132, 127)",1.0
446,"(197, 185, 171)",1.0
447,"(245, 222, 152)",1.0
448,"(183, 109, 62)",1.0
449,"(233, 154, 95)",1.0
450,"(168, 149, 143)",1.0
451,"(95, 68, 59)",1.0
452,"(60, 176, 111)",1.0
453,"(218, 186, 210)",1.0
454,"(166, 212, 227)",1.0
455,"(170, 173, 208)",1.0
456,"(18, 105, 89)",1.0
457,"(117, 96, 129)",1.0
458,"(187, 217, 227)",1.0
459,"(108, 146, 183)",1.0
460,"(201, 206, 209)",1.0
461,"(231, 200, 215)",1.0
462,"(121, 191, 163)",1.0
463,"(239, 211, 174)",1.0
464,"(245, 238, 222)",1.0
465,"(138, 201, 244)",1.0
466,"(181, 142, 87)",1.0
467,"(247, 247, 247)",2.0
468,"(130, 181, 124)",1.0
469,"(168, 195, 214)",1.0
470,"(70, 95, 126)",1.0
471,"(219, 225, 239)",1.0
472,"(242, 170, 120)",1.0
473,"(201, 206, 226)",1.0
474,"(0, 109, 184)",1.0
475,"(248, 249, 251)",1.0
476,"(61, 147, 170)",1.0
477,"(83, 66, 82)",1.0
478,"(183, 156, 199)",1.0
