,colour,frequency
0,"(88, 81, 75)",1.0
1,"(80, 95, 124)",1.0
2,"(65, 158, 175)",1.0
3,"(254, 254, 254)",146.0
4,"(47, 49, 48)",1.0
5,"(224, 91, 82)",1.0
6,"(132, 205, 178)",1.0
7,"(146, 146, 146)",1.0
8,"(74, 65, 60)",1.0
9,"(39, 40, 42)",1.0
10,"(56, 88, 149)",1.0
11,"(210, 146, 173)",1.0
12,"(225, 159, 37)",1.0
13,"(255, 254, 255)",5.0
14,"(121, 188, 214)",1.0
15,"(52, 70, 80)",1.0
16,"(219, 168, 183)",1.0
17,"(234, 223, 231)",1.0
18,"(157, 129, 105)",1.0
19,"(208, 225, 133)",1.0
20,"(255, 255, 253)",2.0
21,"(152, 128, 180)",1.0
22,"(253, 254, 255)",4.0
23,"(245, 178, 185)",1.0
24,"(231, 208, 102)",1.0
25,"(34, 37, 42)",1.0
26,"(125, 120, 116)",1.0
27,"(80, 91, 93)",1.0
28,"(63, 63, 99)",1.0
29,"(205, 189, 156)",1.0
30,"(225, 122, 167)",1.0
31,"(93, 195, 235)",1.0
32,"(110, 124, 171)",1.0
33,"(245, 210, 216)",1.0
34,"(101, 150, 103)",1.0
35,"(229, 166, 174)",1.0
36,"(248, 252, 255)",1.0
37,"(111, 163, 210)",1.0
38,"(138, 175, 201)",1.0
39,"(87, 141, 211)",1.0
40,"(0, 0, 0)",9.0
41,"(44, 43, 41)",1.0
42,"(184, 131, 177)",1.0
43,"(105, 113, 132)",1.0
44,"(252, 229, 153)",1.0
45,"(72, 100, 122)",1.0
46,"(147, 192, 221)",2.0
47,"(70, 70, 70)",1.0
48,"(190, 186, 183)",1.0
49,"(190, 137, 119)",1.0
50,"(246, 219, 148)",1.0
51,"(119, 119, 155)",1.0
52,"(183, 179, 212)",1.0
53,"(180, 134, 111)",1.0
54,"(246, 210, 122)",1.0
55,"(34, 36, 35)",1.0
56,"(84, 116, 157)",1.0
57,"(171, 202, 207)",1.0
58,"(215, 110, 140)",1.0
59,"(52, 69, 77)",1.0
60,"(137, 107, 69)",1.0
61,"(252, 253, 255)",1.0
62,"(190, 87, 80)",1.0
63,"(216, 195, 114)",1.0
64,"(237, 236, 234)",1.0
65,"(173, 86, 102)",1.0
66,"(170, 208, 171)",1.0
67,"(113, 87, 64)",1.0
68,"(252, 224, 127)",1.0
69,"(239, 248, 247)",1.0
70,"(243, 196, 202)",1.0
71,"(192, 150, 154)",1.0
72,"(109, 109, 111)",1.0
73,"(131, 199, 96)",1.0
74,"(67, 190, 206)",1.0
75,"(202, 166, 204)",1.0
76,"(0, 163, 132)",1.0
77,"(142, 185, 202)",1.0
78,"(0, 134, 71)",1.0
79,"(41, 41, 39)",1.0
80,"(227, 107, 70)",1.0
81,"(61, 68, 97)",1.0
82,"(171, 199, 213)",1.0
83,"(131, 151, 90)",1.0
84,"(177, 208, 128)",1.0
85,"(155, 211, 212)",1.0
86,"(177, 86, 55)",1.0
87,"(45, 44, 42)",1.0
88,"(225, 205, 152)",1.0
89,"(73, 71, 72)",1.0
90,"(147, 147, 149)",1.0
91,"(99, 170, 190)",1.0
92,"(174, 219, 222)",1.0
93,"(183, 155, 108)",1.0
94,"(160, 111, 156)",1.0
95,"(138, 197, 153)",1.0
96,"(247, 206, 114)",1.0
97,"(153, 125, 101)",1.0
98,"(199, 216, 234)",1.0
99,"(204, 200, 191)",1.0
100,"(58, 56, 57)",1.0
101,"(93, 93, 85)",1.0
102,"(235, 129, 87)",1.0
103,"(75, 39, 139)",1.0
104,"(176, 70, 80)",1.0
105,"(40, 50, 75)",1.0
106,"(210, 212, 211)",1.0
107,"(223, 82, 72)",1.0
108,"(92, 116, 128)",1.0
109,"(226, 214, 200)",1.0
110,"(82, 139, 156)",1.0
111,"(67, 120, 112)",1.0
112,"(240, 249, 244)",1.0
113,"(178, 88, 77)",1.0
114,"(234, 234, 234)",1.0
115,"(238, 240, 227)",1.0
116,"(115, 86, 130)",1.0
117,"(71, 71, 73)",1.0
118,"(158, 141, 193)",1.0
119,"(172, 123, 178)",1.0
120,"(240, 225, 158)",1.0
121,"(42, 76, 147)",1.0
122,"(200, 183, 217)",1.0
123,"(175, 86, 78)",1.0
124,"(254, 241, 224)",1.0
125,"(85, 74, 70)",1.0
126,"(94, 87, 77)",1.0
127,"(244, 237, 244)",1.0
128,"(149, 156, 114)",1.0
129,"(114, 114, 114)",2.0
130,"(241, 242, 246)",1.0
131,"(234, 84, 95)",1.0
132,"(152, 136, 185)",1.0
133,"(111, 99, 149)",1.0
134,"(240, 217, 186)",1.0
135,"(249, 219, 209)",1.0
136,"(233, 195, 220)",1.0
137,"(238, 179, 149)",1.0
138,"(217, 198, 220)",1.0
139,"(242, 170, 192)",1.0
140,"(251, 224, 135)",1.0
141,"(252, 241, 187)",1.0
142,"(19, 13, 13)",1.0
143,"(221, 201, 104)",1.0
144,"(250, 252, 251)",1.0
145,"(59, 148, 162)",1.0
146,"(242, 203, 84)",1.0
147,"(92, 84, 121)",1.0
148,"(154, 211, 241)",1.0
149,"(175, 209, 123)",1.0
150,"(238, 144, 158)",1.0
151,"(70, 69, 75)",1.0
152,"(99, 129, 183)",1.0
153,"(215, 152, 108)",1.0
154,"(247, 242, 202)",1.0
155,"(191, 151, 125)",1.0
156,"(229, 221, 232)",1.0
157,"(231, 134, 65)",1.0
158,"(211, 175, 123)",1.0
159,"(107, 162, 193)",1.0
160,"(218, 225, 69)",1.0
161,"(88, 82, 118)",1.0
162,"(125, 117, 132)",1.0
163,"(100, 101, 103)",1.0
164,"(154, 209, 240)",1.0
165,"(187, 73, 98)",1.0
166,"(97, 86, 80)",1.0
167,"(253, 229, 129)",1.0
168,"(140, 146, 170)",1.0
169,"(136, 110, 135)",1.0
170,"(180, 191, 213)",1.0
171,"(69, 157, 203)",1.0
172,"(240, 163, 173)",1.0
173,"(205, 220, 243)",1.0
174,"(196, 196, 194)",1.0
175,"(175, 103, 166)",1.0
176,"(205, 177, 78)",1.0
177,"(121, 175, 222)",1.0
178,"(67, 62, 59)",1.0
179,"(246, 219, 130)",1.0
180,"(200, 177, 125)",1.0
181,"(80, 76, 75)",2.0
182,"(200, 195, 191)",1.0
183,"(158, 172, 185)",1.0
184,"(170, 192, 215)",1.0
185,"(51, 51, 51)",2.0
186,"(169, 147, 126)",1.0
187,"(200, 210, 235)",1.0
188,"(130, 114, 99)",1.0
189,"(168, 170, 156)",1.0
190,"(247, 248, 250)",2.0
191,"(202, 224, 235)",1.0
192,"(95, 149, 151)",1.0
193,"(166, 216, 213)",1.0
194,"(156, 117, 58)",1.0
195,"(51, 45, 31)",1.0
196,"(156, 116, 80)",1.0
197,"(222, 216, 226)",1.0
198,"(180, 122, 85)",1.0
199,"(119, 111, 171)",1.0
200,"(57, 53, 52)",1.0
201,"(170, 186, 237)",1.0
202,"(199, 158, 106)",1.0
203,"(93, 42, 61)",1.0
204,"(138, 168, 179)",1.0
205,"(165, 217, 231)",1.0
206,"(131, 112, 167)",1.0
207,"(226, 112, 120)",1.0
208,"(126, 103, 95)",1.0
209,"(139, 162, 180)",1.0
210,"(70, 74, 83)",1.0
211,"(194, 199, 229)",1.0
212,"(243, 243, 243)",1.0
213,"(243, 240, 235)",1.0
214,"(124, 53, 51)",1.0
215,"(247, 194, 202)",1.0
216,"(198, 162, 140)",1.0
217,"(249, 249, 251)",1.0
218,"(252, 222, 230)",1.0
219,"(190, 190, 138)",1.0
220,"(248, 234, 221)",1.0
221,"(163, 204, 222)",1.0
222,"(198, 225, 184)",1.0
223,"(203, 212, 195)",1.0
224,"(88, 181, 222)",1.0
225,"(191, 215, 239)",1.0
226,"(246, 221, 157)",1.0
227,"(102, 132, 156)",1.0
228,"(110, 31, 36)",1.0
229,"(178, 204, 165)",1.0
230,"(113, 86, 131)",1.0
231,"(159, 161, 182)",1.0
232,"(11, 12, 16)",1.0
233,"(251, 250, 248)",1.0
234,"(111, 51, 43)",1.0
235,"(43, 65, 86)",1.0
236,"(95, 68, 103)",1.0
237,"(192, 140, 83)",1.0
238,"(78, 140, 151)",1.0
239,"(171, 107, 121)",1.0
240,"(77, 73, 72)",1.0
241,"(232, 239, 249)",1.0
242,"(136, 201, 143)",1.0
243,"(161, 156, 152)",1.0
244,"(151, 114, 147)",1.0
245,"(181, 138, 121)",1.0
246,"(237, 231, 199)",1.0
247,"(163, 148, 117)",1.0
248,"(183, 148, 188)",1.0
249,"(242, 157, 118)",1.0
250,"(164, 86, 84)",1.0
251,"(43, 44, 48)",1.0
252,"(187, 192, 196)",1.0
253,"(56, 95, 134)",1.0
254,"(237, 233, 232)",1.0
255,"(245, 234, 178)",1.0
256,"(61, 91, 91)",1.0
257,"(248, 177, 181)",1.0
258,"(235, 242, 248)",1.0
259,"(179, 152, 35)",1.0
260,"(50, 73, 91)",1.0
261,"(27, 36, 43)",1.0
262,"(78, 95, 105)",1.0
263,"(230, 112, 74)",1.0
264,"(184, 215, 139)",1.0
265,"(200, 110, 102)",1.0
266,"(122, 155, 48)",1.0
267,"(254, 255, 255)",3.0
268,"(242, 223, 209)",1.0
269,"(249, 250, 252)",1.0
270,"(128, 128, 128)",1.0
271,"(245, 208, 216)",1.0
272,"(77, 117, 186)",1.0
273,"(172, 168, 185)",1.0
274,"(93, 65, 106)",1.0
275,"(180, 92, 91)",1.0
276,"(157, 106, 79)",1.0
277,"(171, 69, 57)",1.0
278,"(238, 225, 208)",1.0
279,"(251, 251, 251)",1.0
280,"(54, 104, 167)",1.0
281,"(27, 28, 30)",1.0
282,"(109, 98, 96)",1.0
283,"(97, 73, 105)",1.0
284,"(153, 198, 53)",1.0
285,"(202, 64, 53)",1.0
286,"(101, 152, 85)",1.0
287,"(176, 101, 124)",1.0
288,"(251, 245, 233)",1.0
289,"(83, 79, 78)",1.0
290,"(41, 114, 133)",1.0
291,"(73, 86, 92)",1.0
292,"(216, 91, 85)",1.0
293,"(45, 51, 77)",1.0
294,"(114, 78, 122)",1.0
295,"(142, 199, 154)",1.0
296,"(242, 239, 234)",1.0
297,"(195, 69, 231)",1.0
298,"(115, 70, 41)",1.0
299,"(161, 76, 39)",1.0
300,"(241, 229, 217)",1.0
301,"(232, 95, 59)",1.0
302,"(240, 220, 183)",1.0
303,"(237, 247, 248)",1.0
304,"(40, 58, 134)",1.0
305,"(243, 221, 164)",1.0
306,"(241, 242, 185)",1.0
307,"(229, 100, 120)",1.0
308,"(168, 206, 227)",1.0
309,"(131, 105, 153)",1.0
310,"(219, 138, 155)",1.0
311,"(204, 187, 161)",1.0
312,"(69, 78, 93)",1.0
313,"(172, 70, 83)",1.0
314,"(62, 61, 59)",1.0
315,"(91, 130, 125)",1.0
316,"(250, 250, 248)",1.0
317,"(229, 135, 133)",1.0
318,"(230, 160, 186)",1.0
319,"(83, 115, 78)",1.0
320,"(69, 94, 125)",1.0
321,"(254, 231, 163)",1.0
322,"(186, 177, 148)",1.0
323,"(89, 88, 86)",1.0
324,"(166, 136, 186)",1.0
325,"(68, 67, 63)",1.0
326,"(54, 53, 58)",1.0
327,"(77, 69, 66)",1.0
328,"(63, 59, 58)",1.0
329,"(124, 129, 123)",1.0
330,"(253, 234, 175)",1.0
331,"(168, 168, 168)",1.0
332,"(143, 79, 67)",1.0
333,"(246, 216, 82)",1.0
334,"(185, 145, 83)",1.0
335,"(168, 133, 33)",1.0
336,"(116, 112, 111)",1.0
337,"(0, 118, 70)",1.0
338,"(94, 106, 144)",1.0
339,"(87, 82, 78)",1.0
340,"(1, 1, 1)",1.0
341,"(57, 57, 57)",1.0
342,"(149, 124, 104)",1.0
343,"(246, 248, 247)",1.0
344,"(195, 209, 235)",1.0
345,"(253, 255, 254)",1.0
346,"(174, 186, 140)",1.0
347,"(80, 102, 125)",1.0
348,"(118, 164, 188)",1.0
349,"(98, 82, 69)",1.0
350,"(225, 82, 74)",1.0
351,"(197, 214, 134)",1.0
352,"(241, 249, 252)",1.0
353,"(252, 239, 246)",1.0
354,"(70, 70, 62)",1.0
355,"(27, 63, 89)",1.0
356,"(239, 217, 170)",1.0
357,"(112, 185, 218)",1.0
358,"(166, 75, 56)",1.0
359,"(76, 79, 112)",1.0
360,"(221, 221, 221)",1.0
361,"(125, 173, 63)",1.0
362,"(212, 223, 215)",1.0
363,"(240, 180, 108)",1.0
364,"(152, 131, 104)",1.0
365,"(251, 213, 114)",1.0
366,"(197, 185, 171)",1.0
367,"(245, 222, 152)",1.0
368,"(233, 154, 95)",1.0
369,"(168, 149, 143)",1.0
370,"(95, 68, 59)",1.0
371,"(60, 176, 111)",1.0
372,"(218, 186, 210)",1.0
373,"(166, 212, 227)",1.0
374,"(170, 173, 208)",1.0
375,"(18, 105, 89)",1.0
376,"(187, 217, 227)",1.0
377,"(108, 146, 183)",1.0
378,"(201, 206, 209)",1.0
379,"(231, 200, 215)",1.0
380,"(121, 191, 163)",1.0
381,"(239, 211, 174)",1.0
382,"(245, 238, 222)",1.0
383,"(138, 201, 244)",1.0
384,"(181, 142, 87)",1.0
385,"(247, 247, 247)",1.0
386,"(130, 181, 124)",1.0
387,"(168, 195, 214)",1.0
388,"(70, 95, 126)",1.0
389,"(219, 225, 239)",1.0
390,"(78, 76, 77)",1.0
391,"(242, 170, 120)",1.0
392,"(201, 206, 226)",1.0
393,"(248, 249, 251)",1.0
394,"(61, 147, 170)",1.0
395,"(83, 66, 82)",1.0
396,"(59, 93, 138)",1.0
397,"(250, 250, 252)",1.0
398,"(87, 64, 146)",1.0
399,"(227, 115, 104)",1.0
400,"(47, 53, 87)",1.0
401,"(108, 187, 204)",1.0
402,"(146, 128, 128)",1.0
403,"(248, 247, 217)",1.0
404,"(224, 121, 116)",1.0
405,"(252, 213, 214)",1.0
406,"(85, 85, 95)",1.0
407,"(112, 101, 95)",1.0
408,"(147, 94, 164)",1.0
409,"(243, 216, 99)",1.0
410,"(222, 199, 157)",1.0
411,"(103, 72, 43)",1.0
412,"(247, 223, 161)",1.0
413,"(137, 108, 74)",1.0
414,"(93, 87, 39)",1.0
415,"(159, 139, 192)",1.0
416,"(37, 41, 44)",1.0
417,"(244, 216, 230)",1.0
418,"(169, 143, 118)",1.0
419,"(75, 75, 75)",2.0
420,"(80, 71, 74)",1.0
421,"(72, 78, 112)",1.0
422,"(160, 214, 240)",1.0
423,"(230, 241, 243)",1.0
424,"(98, 100, 99)",1.0
425,"(193, 189, 203)",1.0
426,"(122, 195, 188)",1.0
427,"(240, 150, 176)",1.0
428,"(172, 174, 231)",1.0
429,"(147, 208, 213)",1.0
430,"(107, 103, 100)",1.0
431,"(100, 89, 83)",1.0
432,"(172, 148, 100)",1.0
433,"(123, 206, 224)",1.0
434,"(250, 221, 141)",1.0
435,"(163, 190, 95)",1.0
436,"(186, 211, 192)",1.0
437,"(227, 236, 233)",1.0
438,"(155, 128, 111)",1.0
439,"(242, 237, 155)",1.0
440,"(28, 33, 37)",1.0
441,"(236, 232, 223)",1.0
442,"(77, 183, 233)",1.0
443,"(109, 81, 130)",1.0
444,"(241, 161, 66)",1.0
445,"(202, 225, 134)",1.0
446,"(253, 235, 127)",1.0
447,"(174, 132, 92)",1.0
448,"(214, 93, 62)",1.0
449,"(182, 222, 221)",1.0
450,"(246, 237, 194)",1.0
451,"(128, 162, 200)",1.0
452,"(57, 52, 49)",1.0
453,"(173, 202, 118)",1.0
454,"(177, 179, 178)",1.0
455,"(125, 129, 167)",1.0
456,"(124, 156, 195)",1.0
457,"(242, 231, 186)",1.0
458,"(127, 118, 181)",1.0
459,"(77, 66, 62)",1.0
460,"(223, 197, 104)",1.0
461,"(99, 132, 111)",1.0
462,"(225, 104, 85)",1.0
463,"(222, 227, 233)",1.0
464,"(255, 229, 144)",1.0
465,"(67, 113, 162)",1.0
466,"(124, 116, 129)",1.0
467,"(216, 205, 159)",1.0
468,"(233, 207, 86)",1.0
469,"(226, 223, 204)",1.0
470,"(250, 250, 250)",1.0
471,"(13, 59, 85)",1.0
472,"(244, 207, 225)",1.0
473,"(224, 142, 128)",1.0
474,"(72, 61, 57)",1.0
475,"(103, 94, 87)",1.0
476,"(169, 169, 171)",1.0
477,"(88, 88, 90)",1.0
478,"(252, 237, 198)",1.0
