date,region,status
06/04/2020,Greater Melbourne,1
06/04/2020,Regional Victoria,1
06/04/2020,Mitchell Shire,1
15/04/2020,Greater Melbourne,2
15/04/2020,Regional Victoria,2
15/04/2020,Mitchell Shire,2
26/05/2020,Greater Melbourne,3
26/05/2020,Regional Victoria,3
26/05/2020,Mitchell Shire,3
09/06/2020,Greater Melbourne,1
09/06/2020,Regional Victoria,1
09/06/2020,Mitchell Shire,1
13/07/2020,Greater Melbourne,3
13/07/2020,Regional Victoria,1
13/07/2020,Mitchell Shire,3
05/08/2020,Greater Melbourne,2
05/08/2020,Regional Victoria,2
05/08/2020,Mitchell Shire,2
05/10/2020,Greater Melbourne,2
05/10/2020,Regional Victoria,3
05/10/2020,Mitchell Shire,2
